PDS_VERSION_ID               = PDS3

/* File characteristic keywords */
RECORD_TYPE                  = STREAM

/* Identification data elements */
DATA_SET_ID                  = "SDU-C/D-CIDA-2/3-NEXT-TEMPEL1-V1.0"
PRODUCT_ID                   = "HK_T20040213_T20110215.TAB"
PRODUCT_TYPE                 = "ANCILLARY"
INSTRUMENT_NAME              = "COMETARY AND INTERSTELLAR DUST ANALYZER"
INSTRUMENT_ID                = "CIDA"
INSTRUMENT_HOST_NAME         = "STARDUST"
TARGET_NAME                  = "N/A"
START_TIME                   = 2004-02-12T18:51:05
STOP_TIME                    = 2011-02-14T21:01:33
SPACECRAFT_CLOCK_START_COUNT = " 761079312"
SPACECRAFT_CLOCK_STOP_COUNT  = " 982216595"
PRODUCT_CREATION_TIME        = 2012-05-13 

/* Descriptive data elements */
DESCRIPTION                  = "CIDA housekeeping data"

/* Pointers to data objects */
^TABLE                       = 1882<BYTES>

OBJECT                       = TABLE
        NAME                 = CIDA_HOUSEKEEPING
        INTERCHANGE_FORMAT   = ASCII
        ROW_BYTES            = 463
        ROWS                 =   6370
        COLUMNS              = 83
        OBJECT               = CONTAINER
                NAME         = CIDA_HEADER
                START_BYTE   = 1
                BYTES        = 250
                REPETITIONS  = 1
                DESCRIPTION  = "CIDA header"
                ^STRUCTURE   = "CIDA_HEADER.FMT"
        END_OBJECT           = CONTAINER
        OBJECT               = CONTAINER
                NAME         = CIDA_HK
                START_BYTE   = 251
                BYTES        = 211
                REPETITIONS  = 1
                DESCRIPTION  = "CIDA housekeeping channels data"
                ^STRUCTURE   = "CIDA_HK.FMT"
        END_OBJECT           = CONTAINER
END_OBJECT                   = TABLE

END
2004-02-16T02:50:03 , 30,0,0,1,0,1,0,0, 2, 761367251, 921201588,65535,  0,  0,  0,         0,     30843,         0,       145,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 4,194,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.979,   0.049,   0.082,     235,     273,     302,     301,     302,     299,     321,     297,    3.64,    1.21,    0
2004-02-16T06:50:01 , 30,0,0,1,0,1,0,0, 2, 761381649, 935601688,65535,  0,  0,  0,         0,     30843,         0,       146,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 5,187,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.973,   0.055,   0.085,     236,     273,     301,     300,     301,     298,     320,     296,    3.64,    1.21,    0
2004-02-16T10:49:57 , 30,0,0,1,0,1,0,0, 2, 761396045, 950001790,65535,  0,  0,  0,         0,     30843,         0,       147,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 6,  0,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      69,       0,   0.979,   0.053,   0.080,     235,     273,     300,     300,     300,     297,     320,     296,    3.64,    1.21,    0
2004-02-16T14:49:54 , 30,0,0,1,0,1,0,0, 2, 761410442, 964401890,65535,  0,  0,  0,         0,     30843,         0,       148,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 7, 70,162, 3.6, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      69,       0,   0.979,   0.053,   0.085,     235,     273,     300,     299,     300,     296,     319,     295,    3.68,    1.21,    0
2004-02-16T18:49:51 , 30,0,0,1,0,1,0,0, 2, 761424839, 978801991,65535,  0,  0,  0,         0,     30843,         0,       149,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 8,  0,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      69,       0,   0.979,   0.052,   0.085,     236,     273,     299,     299,     299,     296,     319,     295,    3.68,    1.21,    0
2004-02-16T22:49:48 , 30,0,0,1,0,1,0,0, 2, 761439236, 993202091,65535,  0,  0,  0,         0,     30843,         0,       150,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4, 9,191,162, 3.6, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      69,       0,   0.979,   0.053,   0.083,     235,     273,     299,     298,     299,     296,     318,     294,    3.68,    1.21,    0
2004-02-17T02:49:45 , 30,0,0,1,0,1,0,0, 2, 761453633,1007602191,65535,  0,  0,  0,         0,     30843,         0,       151,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,10,122,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      70,       0,   0.979,   0.050,   0.081,     236,     273,     299,     298,     299,     296,     319,     294,    3.68,    1.21,    0
2004-02-17T06:49:42 , 30,0,0,1,0,1,0,0, 2, 761468030,1022002293,65535,  0,  0,  0,         0,     30843,         0,       152,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,11,190,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      69,       0,   0.979,   0.053,   0.085,     236,     273,     299,     298,     299,     296,     318,     294,    3.68,    1.21,    0
2004-02-17T10:49:39 , 30,0,0,1,0,1,0,0, 2, 761482427,1036402394,65535,  0,  0,  0,         0,     30843,         0,       153,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,12, 44,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -14.03,       0,      69,       0,   0.973,   0.050,   0.085,     236,     273,     299,     298,     299,     296,     318,     294,    3.64,    1.21,    0
2004-02-17T14:49:35 , 30,0,0,1,0,1,0,0, 2, 761496823,1050802495,65535,  0,  0,  0,         0,     30843,         0,       154,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,13, 70,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -13.95,       0,      69,       0,   0.985,   0.050,   0.082,     236,     273,     299,     298,     298,     295,     318,     294,    3.68,    1.21,    0
2004-02-17T18:49:33 , 30,0,0,1,0,1,0,0, 2, 761511221,1065202595,65535,  0,  0,  0,         0,     30843,         0,       155,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,  4,  4,14, 98,162, 3.7, 1.2,0,0,0,1,0,0,1,144,116,120,106,54337,54337,54584,22016,54305,54337,"HAUS",   5.350,  -5.075,   14.55,    5.35,   14.55,  -14.03,       0,      69,       0,   0.979,   0.055,   0.085,     235,     273,     299,     298,     298,     295,     318,     294,    3.68,    1.21,    0
