126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-514.871
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-514.610
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-514.350
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-514.090
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-513.830
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-513.570
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-513.310
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-513.050
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-512.790
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-512.530
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-512.270
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-512.011
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-511.751
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-511.492
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-511.232
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-510.973
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-510.713
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-510.454
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-510.195
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-509.936
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-509.677
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-509.418
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-509.159
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-508.900
126, 15, -1, -1, -1,  131.174,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-508.641
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-508.382
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-508.124
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-507.865
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-507.606
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-507.348
125, 15, -1, -1, -1,  127.993,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-507.089
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-506.831
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-506.573
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-506.315
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-506.056
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-505.798
124, 15, -1, -1, -1,  124.879,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-505.540
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-505.282
124, 15, -1, -1, -1,  124.879,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-505.024
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-504.767
125, 15, -1, -1, -1,  127.993,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-504.509
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-504.251
126, 15, -1, -1, -1,  131.174,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-503.993
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-503.736
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-503.478
127, 15, -1, -1, -1,  134.424,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-503.221
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-502.964
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-502.706
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-502.449
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-502.192
128, 16, -1, -1, -1,  137.743,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-501.935
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-501.678
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-501.421
127, 16, -1, -1, -1,  134.424,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-501.164
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-500.907
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-500.650
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-500.394
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-500.137
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-499.880
126, 16, -1, -1, -1,  131.174,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-499.624
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-499.367
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-499.111
125, 16, -1, -1, -1,  127.993,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-498.855
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-498.598
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-498.342
122, 16, -1, -1, -1,  118.845,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-498.086
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-497.830
123, 16, -1, -1, -1,  121.830,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-497.574
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-497.318
124, 16, -1, -1, -1,  124.879,    0.000,-9999.999,-9999.999,-9999.999,    0.000,0,-497.062
124, 15, -1, -1, -1,  124.879,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-496.806
125, 15, -1, -1, -1,  127.993,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-496.551
125, 15, -1, -1, -1,  127.993,   -0.281,-9999.999,-9999.999,-9999.999,   -0.281,0,-496.295
